date,home_team,away_team,home_score,away_score,result
2025-04-18,30 - Λαντβτερ Λχολμς,0 - 0 X,0,0,draw
2025-04-18,30 224 Ντρμπι Λοτον 2.37 2.95 3.20,0 - 1 2,0,1,away
2025-04-18,30 225 Γκιτσχεντ Γιορκ 3.05 3.45 2.07,1 - 3 2,1,1,draw
2025-04-18,30 1635 Φλρα Ταλν Πιντε Λιναμεσκντ 2.35 3.00 2.67,1 - 0 1,1,0,home
2025-04-18,30 1646 Γκουανγκντνγκ Μινγκτο Σενζν Τζονιορς 6.35 4.00 1.37,2 - 2 X,2,0,home
2025-04-18,30 1647 Γκουιτσου Ζουτσνγκ Φοσν Νανσχ 2.40 2.90 2.67,2 - 1 1,0,0,draw
2025-04-18,00 - Μντσεστερ Γιουν. U18 Ντρμπι U18,4 - 3 1,1,2,away
2025-04-18,00 - Ταζμανα Μπερλν Ντιναμ Σβερν,1 - 2 2,0,0,draw
2025-04-18,00 - Τνις Μποροσια Βερολνου Χνσα Ροστκ ΙΙ,2 - 3 2,2,0,home
2025-04-18,00 - Προυσεν Βερολνου Σπρτα Λχτενμπεργκ,0 - 6 2,0,3,away
2025-04-18,00 - Βνερσομποργκς ΦΚ Γκρμπεσταντ,1 - 1 X,1,0,home
2025-04-18,00 - Μπολστανες Κορσνς,4 - 2 1,3,0,home
2025-04-18,00 - Καρλσκρνα ΙΦΚ Κρλσχαμν,3 - 1 1,2,0,home
2025-04-18,00 - Λινρο Σλβεσμποργκς,0 - 1 2,0,0,draw
2025-04-18,00 - Ατβνταμπεργκ Φργουορντ,1 - 1 X,0,0,draw
2025-04-18,00 226 ξετερ Μπρτον 2.85 3.20 2.40,0 - 0 X,0,0,draw
2025-04-18,00 1559 Μπρμσγκρουβ Σπρτινγκ Μπγκλσγουιντ Τουν 1.45 4.35 4.75,3 - 0 1,1,0,home
2025-04-18,00 1560 Μτα Λου Γιελγκβα 2.55 3.20 2.45,0 - 0 X,0,0,draw
2025-04-18,00 1634 Θστιντ ΧΙΚ Χλερουπ 2.50 3.25 2.55,1 - 1 X,0,0,draw
2025-04-18,00 1665 Αραρτ Γιερεβν Αλασκρτ,3 - 2 1,1,2,away
2025-04-18,00 1666 Μαλοτ Γιουνιτεντ Μπικ Νουμφρ,1 - 1 X,0,1,away
2025-04-18,00 1667 Πρσιμπ Μπαντονγκ Μπαλ Γιουν. Πουσμ,2 - 1 1,0,1,away
2025-04-18,00 1668 Γουτφορντ U21 Μπρντφορντ U21,2 - 1 1,0,0,draw
2025-04-18,00 1669 Κρου U21 Μπρνλι U21,0 - 5 2,0,2,away
2025-04-18,00 1670 Μπρστολ Στι U21 Σουνσι U21,3 - 4 2,1,2,away
2025-04-18,15 1671 Κονγκ Αν Ναν Νταν Χο Τσι Μιν Στι,0 - 0 X,0,0,draw
2025-04-18,15 1672 Χι Φονγκ Μπιν Ντιν,2 - 0 1,1,0,home
2025-04-18,00 - Πστα Ριντζερς ΑΦΚ Λοπαρντς,1 - 0 1,1,0,home
2025-04-18,00 - Σλβαν Λιουμπλινα Αλουμνι Κιντριτσβο,0 - 1 2,0,0,draw
2025-04-18,00 - KMC Ντντομα Τζτζι,2 - 1 1,2,1,home
2025-04-18,00 - Τανζανα Πρζονς JKT Τανζανα,3 - 2 1,0,2,away
2025-04-18,00 - Πτεα Γ Αλνγκσας Γιουνιτεντ Γ,2 - 1 1,0,1,away
2025-04-18,00 - Σκρα Βνερσμποργκ ΙΦ,1 - 2 2,1,0,home
2025-04-18,00 - Αλ Φασλι Αμμν Ρμθα,1 - 0 1,1,0,home
2025-04-18,00 - Βγκμπιχολμ Γιρφαλα,1 - 0 1,0,0,draw
2025-04-18,00 - Σταουτσνι Βικτρια Μπρνταρ,3 - 1 1,2,0,home
2025-04-18,00 - Φλορστι Σαχν Σεαντρ Λονγκα,0 - 3 2,0,1,away
2025-04-18,00 - Ξορσμ Μπουνιοντκρ Τασκνδης,0 - 0 X,0,0,draw
2025-04-18,00 227 Πορτιμοννσε Πσος Φεριρα 2.57 3.20 2.50,2 - 0 1,2,0,home
2025-04-18,00 228 Μλμε Σριους 1.35 4.85 7.50,1 - 1 X,0,1,away
2025-04-18,00 229 Μιλμπι Χμαρμπι 2.70 3.20 2.52,3 - 1 1,3,1,home
2025-04-18,00 1673 Μπνικ Μοστ Σοκλ Μπροζνι,0 - 0 X,0,0,draw
2025-04-18,00 1674 Σοκλ Χοστον Τσομουτφ,0 - 0 X,0,0,draw
2025-04-18,30 - Μπετζν Κβντινγκ,0 - 2 2,0,1,away
2025-04-18,30 230 Τσρνο Μρε Βρνα Μπερε Στρα Ζαγορ 1.75 3.10 4.50,1 - 1 X,1,0,home
2025-04-18,30 1563 Τρκτορ Μλαβαν Μπνταρ 1.44 3.75 6.75,3 - 0 1,1,0,home
2025-04-18,00 - Λουντογκρετς Β Γιντρα 2019 Γκμπροβο,1 - 1 X,0,0,draw
2025-04-18,00 - Σπρτακ Πλβεν Μπελσιτσα Πτριχ,0 - 0 X,0,0,draw
2025-04-18,00 - Λβετς Λοκομοτβ Γκρνα Οριαχβιτσα,1 - 0 1,0,0,draw
2025-04-18,00 - Ντοναβ Ροσε ΤΣΣΚΑ 1948 ΙΙ,1 - 0 1,0,0,draw
2025-04-18,00 - Μογχιρ Αλ Σρχαν Μαν,2 - 1 1,1,0,home
2025-04-18,00 - Βουκοβρ 91 Ντουγκοπλζε,3 - 0 1,2,0,home
